idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
19837976,27939,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Žuta ","Novi Sad"
19935730,27939,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ","Novi Sad"
19935788,27939,"Novo vozilo",Kia,Sportage,2022,2,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ","Novi Sad"
18180399,27920,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,159,"Automatski / poluautomatski ",4,"Crna ",Beograd
18913049,27920,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,160,"Automatski / poluautomatski ",4,"Siva ",Beograd
14775003,27906,"Novo vozilo",Škoda,Kodiaq,2022,0,Džip/SUV,Benzin,1498,150,"Manuelni 6 brzina ",4,"Siva ",Veternik
19654889,27819,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crvena ",Čačak
19660637,27819,"Polovno vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ",Veternik
19702674,27819,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crna ",Čačak
19723883,27819,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bela ",Čačak
19901041,27819,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1589,150,"Manuelni 6 brzina ",4,"Crna ",Veternik
20031344,27819,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Plava ",Čačak
20054581,27819,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ",Čačak
19945772,27539,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bela ","Novi Sad"
19377978,27490,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,Dizel,1598,131,"Manuelni 6 brzina ",4,"Plava ","Novi Sad"
19905145,27490,"Polovno vozilo",Volkswagen,T-Roc,2021,22300,Džip/SUV,Dizel,1968,150,"Manuelni 6 brzina ",4,"Crvena ",Jagodina
19415008,27320,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,160,"Automatski / poluautomatski ",4,"Crvena ",Beograd
19986660,27290,"Novo vozilo",Hyundai,Tucson,2022,3,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bela ",Beograd
15712902,27159,"Novo vozilo",Kia,XCeed,2021,6,Džip/SUV,Benzin,1482,160,"Manuelni 6 brzina ",4,"Žuta ","Novi Sad"
19775827,27139,"Novo vozilo",Kia,XCeed,2022,3,Hečbek,Benzin,1482,160,"Manuelni 6 brzina ",4,"Žuta ",Niš
19923172,27139,"Novo vozilo",Kia,XCeed,2022,1,Džip/SUV,Benzin,1482,160,"Manuelni 6 brzina ",4,"Žuta ",Čačak
19414904,27120,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,160,"Automatski / poluautomatski ",4,"Siva ",Beograd
18760542,27100,"Novo vozilo",Suzuki,Jimny,2022,0,Džip/SUV,Benzin,1462,102,"Automatski / poluautomatski ",2,"Siva ","Novi Sad"
17919046,27090,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bordo ",Kraljevo
